mess_id,mess_name,city,food_type,monthly_price,seating_capacity,hygiene_score,taste_score,consistency_score,punctuality_score,avg_rating,total_reviews,complaint_ratio,retention_months,trust_score,veg_days_per_week,special_items_count
5159ad55-9050-49bd-8bc5-9e28f4fb590d,HomeStyle Meals,Nagpur,veg+nonveg,4306,56,4.32,4.19,3.88,4.7,4.27,50,0.21,1,3.72,7,5
cdcb0e64-7c80-47b4-9867-2d46fc58c419,Shree Mess,Nagpur,veg+egg,3334,115,3.62,3.79,3.71,4.44,3.89,108,0.25,2,3.32,5,1
3b60435c-7def-4292-8559-02ff12a84c02,Maa Tiffin,Mumbai,veg,3430,88,3.8,3.7,3.55,3.68,3.68,27,0.37,7,3.14,7,1
cfc6d986-ab84-431d-98ff-2adda98049bc,HomeStyle Meals,Mumbai,veg,3342,126,3.69,3.92,2.67,4.54,3.7,13,0.33,2,3.14,6,5
5602a2b8-3b9c-4012-ab3b-7ec6c0e75384,Shree Mess,Shirpur,veg+nonveg,2938,98,3.41,4.34,3.47,4.47,3.92,127,0.16,5,3.39,6,4
b3d0c291-4a43-4058-8ce6-e4413663cc5c,Maa Tiffin,Mumbai,veg+nonveg,2410,139,4.08,3.36,3.55,4.12,3.78,137,0.07,10,3.36,7,6
11e5477d-9d3c-4c9e-9acf-b0a4f6733117,HomeStyle Meals,Solapur,veg,4274,127,3.71,3.16,3.85,4.25,3.74,106,0.08,10,3.27,6,4
4c5ed5e5-4238-4616-b49b-d3ef87deafce,Campus Tiffin,Aurangabad,veg+nonveg,3745,120,4.45,3.85,4.01,4.52,4.21,158,0.02,4,3.77,5,5
3ad542b2-5d09-4620-8980-c78ad90ffee4,Smart Mess,Nashik,veg+egg,2967,135,4.82,3.66,4.37,4.62,4.37,27,0.24,3,3.81,6,3
afde24c0-a0b7-409f-b0e2-e8a056954072,Campus Tiffin,Solapur,veg+egg,3740,131,4.3,3.96,3.56,3.88,3.92,187,0.04,5,3.55,5,6
7ead6560-4dcf-4d6b-9584-ddba32204325,HomeStyle Meals,Pune,veg+egg,2689,117,4.3,4.76,4.21,3.81,4.27,170,0.23,6,3.78,6,2
56c41b88-391f-439c-9e00-931288e18ea7,Student Kitchen,Nagpur,veg+nonveg,2271,99,3.77,4.35,4.01,3.77,3.97,79,0.1,10,3.54,5,1
642b3b54-bd13-4e93-b140-7f3451946409,Sai Mess,Pune,veg+egg,4137,108,3.98,3.57,4.03,3.89,3.87,143,0.08,8,3.44,5,8
b476b614-3366-4a17-a22a-532675919e97,Shree Mess,Mumbai,veg,2742,80,3.29,3.81,3.82,4.44,3.84,180,0.21,12,3.26,7,4
1ffac0ba-1143-49fb-82e5-9ea0983a5b93,Sai Mess,Shirpur,veg,3679,71,3.53,3.58,4.42,3.98,3.88,154,0.11,4,3.38,7,5
1a4909e7-6924-4caa-ad79-b332306e73c7,Annapurna Mess,Mumbai,veg+nonveg,3588,85,3.55,4.0,4.49,4.42,4.12,143,0.46,11,3.4,6,4
71f839bf-baf8-4759-8862-fea2a2714dd4,Hostel Bhojan,Nashik,veg+egg,4478,129,3.82,3.29,3.25,4.2,3.64,190,0.28,10,3.11,7,5
1e760720-d2dc-40e8-bee0-dfe731189525,Maa Tiffin,Solapur,veg+nonveg,4267,48,4.61,4.24,4.61,4.51,4.49,139,0.19,9,3.95,7,8
0b7b4988-0b4f-4027-beb4-a5582d83a50b,Hostel Bhojan,Mumbai,veg+egg,3145,122,4.82,4.18,3.71,3.57,4.07,36,0.17,4,3.68,7,8
d180a4c2-e16d-41a4-901c-45974944c9fb,Sai Mess,Aurangabad,veg,2647,110,3.31,3.46,3.93,4.11,3.7,50,0.23,7,3.15,6,8
1e724fad-4c2f-4d6d-a37f-945069f17931,Smart Mess,Aurangabad,veg+egg,3875,124,3.72,2.99,3.64,4.99,3.84,175,0.17,9,3.26,6,6
f023fa26-3d37-47e4-b1ea-62a191e42fda,Smart Mess,Pune,veg,3487,71,3.53,3.71,4.0,3.67,3.73,191,0.15,8,3.26,6,1
3a720701-560e-4b4f-a006-bd9f605eff15,Sai Mess,Mumbai,veg+nonveg,2852,52,4.85,3.97,3.85,4.5,4.29,88,0.14,7,3.82,7,2
81c734cc-78ca-4cde-9734-2e44f7cdc145,Sai Mess,Aurangabad,veg,3712,107,4.22,3.59,3.91,3.82,3.88,57,0.17,11,3.43,5,1
2b4b9e6f-9c50-4330-9691-f42e7d716c28,Student Kitchen,Shirpur,veg+egg,3196,48,3.36,3.85,4.32,4.49,4.01,155,0.13,10,3.44,7,2
eda77477-ad76-453c-8b1f-db9ce74fbebe,Hostel Bhojan,Pune,veg,3430,111,5.0,3.69,3.64,4.37,4.18,184,0.35,12,3.63,5,7
d8f2a331-f571-42f3-bb88-027f7c5a751b,Maa Tiffin,Nashik,veg+egg,4309,129,4.01,3.08,4.21,3.8,3.78,150,0.12,11,3.32,7,5
7671d45d-87a3-4731-86f7-51b19cbe7e1d,Shree Mess,Shirpur,veg+nonveg,3985,122,3.83,3.63,4.39,4.32,4.04,188,0.07,1,3.55,5,3
275c563e-b6dc-4c1f-8c87-17bbbefc62d4,Shree Mess,Aurangabad,veg+egg,3583,44,3.32,4.01,3.61,3.54,3.62,102,0.27,7,3.12,7,3
c647cc6c-c9ae-4544-9ec3-00b66921ae3e,Maa Tiffin,Pune,veg+egg,3603,142,5.0,3.95,3.49,4.41,4.21,139,0.22,12,3.74,7,1
6264e036-f266-4a80-9182-1ee721a862d2,Daily Thali,Aurangabad,veg,4219,116,3.64,3.99,3.95,4.18,3.94,66,0.17,2,3.42,5,3
993868ae-ff5f-4832-9770-24b1896e7adc,Annapurna Mess,Pune,veg+nonveg,3513,48,2.61,3.87,4.33,3.07,3.47,25,0.04,9,3.06,5,7
0c9cb861-f273-4ace-86d2-13be455fc792,Annapurna Mess,Nagpur,veg,3235,149,4.41,3.51,4.31,3.72,3.99,197,0.6,5,3.32,5,1
f2a28b28-aaaa-46ec-8649-972d8babc26c,Smart Mess,Mumbai,veg+nonveg,4061,68,3.38,4.11,3.6,3.76,3.71,43,0.08,5,3.29,7,2
